Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby LLaMA model :)
dim = 128
n_layers = 4
n_heads = 4
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
model_conf = ModelArgs(dim=128, n_layers=4, n_heads=4, vocab_size=65, multiple_of=8, norm_eps=1e-06, max_batch_size=64, max_seq_len=256)
number of parameters: 17.59M
num decayed parameter tensors: 39, with 17,600,768 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.3878, val loss 4.3964
iter 112: loss 2.33243990, time 99.40ms
iter 113: loss 2.30491590, time 99.94ms
iter 114: loss 2.31417060, time 100.09ms
iter 115: loss 2.32253265, time 100.11ms
iter 116: loss 2.31644607, time 100.51ms
iter 117: loss 2.28325343, time 100.45ms
iter 118: loss 2.27448010, time 100.78ms
iter 119: loss 2.28449988, time 100.49ms
iter 120: loss 2.29282975, time 128.22ms
iter 121: loss 2.27745128, time 100.50ms
iter 122: loss 2.25265098, time 100.96ms
iter 123: loss 2.25975251, time 100.52ms
iter 124: loss 2.25315547, time 100.86ms
iter 125: loss 2.26001859, time 99.07ms
iter 126: loss 2.23268342, time 101.08ms
iter 127: loss 2.23420072, time 100.81ms
iter 128: loss 2.22846580, time 99.72ms
iter 129: loss 2.23875570, time 100.35ms
iter 130: loss 2.22162318, time 100.85ms
iter 131: loss 2.23276067, time 100.04ms
iter 132: loss 2.19904208, time 100.54ms
iter 133: loss 2.19878316, time 100.67ms
iter 134: loss 2.18313503, time 101.61ms
iter 135: loss 2.18840170, time 100.42ms
iter 136: loss 2.19914103, time 101.36ms
iter 137: loss 2.17918873, time 100.47ms
iter 138: loss 2.20713806, time 137.30ms
iter 139: loss 2.16219878, time 100.76ms
iter 140: loss 2.18255997, time 100.60ms
iter 141: loss 2.15131664, time 99.77ms
iter 142: loss 2.12871861, time 100.15ms
iter 143: loss 2.14998603, time 100.86ms
iter 144: loss 2.15599227, time 101.11ms
iter 145: loss 2.16167688, time 100.43ms
iter 146: loss 2.12344646, time 100.95ms
iter 147: loss 2.11989570, time 100.72ms
iter 148: loss 2.13341904, time 100.59ms
iter 149: loss 2.10400176, time 100.50ms
iter 150: loss 2.12025094, time 100.74ms
iter 151: loss 2.10120821, time 100.21ms
iter 152: loss 2.08576798, time 100.47ms
iter 153: loss 2.08613968, time 100.75ms
iter 154: loss 2.09895515, time 99.82ms
iter 155: loss 2.08502769, time 100.64ms
iter 156: loss 2.08412790, time 100.67ms
iter 157: loss 2.07635713, time 128.45ms
iter 158: loss 2.08012795, time 100.70ms
iter 159: loss 2.04154849, time 100.22ms
iter 160: loss 2.06445932, time 100.77ms
iter 161: loss 2.03544617, time 99.80ms
iter 162: loss 2.03436899, time 100.50ms
iter 163: loss 2.03264618, time 100.85ms
iter 164: loss 2.03778601, time 100.08ms
iter 165: loss 2.03710723, time 101.03ms
iter 166: loss 2.02349472, time 100.90ms
iter 167: loss 2.01952243, time 100.39ms
iter 168: loss 2.03801751, time 100.33ms
iter 169: loss 2.03871536, time 100.39ms
iter 170: loss 1.99051857, time 99.98ms
iter 171: loss 1.97481561, time 100.43ms
iter 172: loss 1.99784529, time 100.24ms
iter 173: loss 1.97036278, time 100.64ms
iter 174: loss 2.00062346, time 100.96ms
iter 175: loss 1.95638967, time 128.67ms
iter 176: loss 1.98548591, time 100.80ms
iter 177: loss 1.96412444, time 100.69ms
iter 178: loss 1.99760818, time 100.48ms
iter 179: loss 1.97236109, time 100.06ms
iter 180: loss 1.98584163, time 100.22ms
iter 181: loss 1.96022320, time 101.42ms
iter 182: loss 1.95777655, time 100.26ms
iter 183: loss 1.94305360, time 99.88ms
iter 184: loss 1.94051349, time 100.21ms
iter 185: loss 1.92079091, time 100.24ms
iter 186: loss 1.92184412, time 99.95ms
iter 187: loss 1.92399025, time 100.20ms
iter 188: loss 1.92929006, time 100.09ms
iter 189: loss 1.92895830, time 132.78ms
iter 190: loss 1.92338336, time 100.18ms
iter 191: loss 1.92828393, time 100.88ms
iter 192: loss 1.90863121, time 100.47ms
iter 193: loss 1.87940383, time 100.63ms
iter 194: loss 1.90099669, time 100.89ms
iter 195: loss 1.92449415, time 101.10ms
iter 196: loss 1.90322602, time 100.52ms
iter 197: loss 1.89043200, time 100.34ms
iter 198: loss 1.87368965, time 100.48ms
iter 199: loss 1.87346268, time 100.32ms
iter 200: loss 1.88994133, time 127.65ms
iter 201: loss 1.90636361, time 100.24ms
iter 202: loss 1.87840438, time 100.42ms
iter 203: loss 1.86839199, time 101.04ms
iter 204: loss 1.88580477, time 100.49ms
iter 205: loss 1.85353959, time 99.80ms
iter 206: loss 1.85701776, time 100.65ms
iter 207: loss 1.89491248, time 100.26ms
iter 208: loss 1.84362817, time 100.73ms
iter 209: loss 1.86093926, time 101.51ms
iter 210: loss 1.86864996, time 100.46ms
iter 211: loss 1.85625851, time 100.26ms
iter 212: loss 1.85662746, time 100.33ms
iter 213: loss 1.83841109, time 100.93ms
iter 214: loss 1.83010054, time 101.19ms
iter 215: loss 1.82909417, time 101.27ms
iter 216: loss 1.81648362, time 99.95ms
iter 217: loss 1.83435452, time 127.17ms
iter 218: loss 1.80766749, time 101.47ms
iter 219: loss 1.83625448, time 100.54ms
iter 220: loss 1.81368852, time 100.96ms
iter 221: loss 1.81379926, time 100.80ms
iter 222: loss 1.81181097, time 101.25ms
iter 223: loss 1.82085872, time 100.73ms
iter 224: loss 1.80171156, time 100.61ms
iter 225: loss 1.79847956, time 100.32ms
iter 226: loss 1.80440855, time 100.45ms
iter 227: loss 1.80848145, time 99.10ms
iter 228: loss 1.78867722, time 102.08ms
iter 229: loss 1.78984594, time 137.57ms
iter 230: loss 1.79495764, time 101.43ms
iter 231: loss 1.79260230, time 99.83ms
iter 232: loss 1.76003790, time 99.85ms
iter 233: loss 1.77385533, time 99.06ms
iter 234: loss 1.77822769, time 100.76ms
iter 235: loss 1.77751732, time 100.40ms
iter 236: loss 1.80757129, time 100.50ms
iter 237: loss 1.77542210, time 100.04ms
iter 238: loss 1.73805904, time 100.34ms
iter 239: loss 1.74928701, time 100.33ms
iter 240: loss 1.77158070, time 100.37ms
iter 241: loss 1.72315061, time 100.26ms
iter 242: loss 1.77436388, time 128.03ms
iter 243: loss 1.73652971, time 99.27ms
iter 244: loss 1.73082542, time 100.45ms
iter 245: loss 1.76107442, time 99.92ms
iter 246: loss 1.72773290, time 100.21ms
iter 247: loss 1.75484776, time 100.52ms
iter 248: loss 1.74704540, time 100.05ms
iter 249: loss 1.73179090, time 99.87ms
step 250: train loss 1.7333, val loss 1.8663
saving checkpoint to out-shakespeare-char
iter 250: loss 1.71971846, time 32769.33ms
iter 251: loss 1.75270450, time 105.95ms
iter 252: loss 1.73365462, time 104.56ms
iter 253: loss 1.74039161, time 105.89ms
iter 254: loss 1.69445515, time 104.14ms
iter 255: loss 1.74255049, time 103.91ms
iter 256: loss 1.71837008, time 103.16ms
iter 257: loss 1.72699070, time 102.38ms
iter 258: loss 1.72419035, time 137.38ms
iter 259: loss 1.72601652, time 102.89ms
iter 260: loss 1.71621692, time 102.10ms
iter 261: loss 1.72654760, time 102.25ms
iter 262: loss 1.70811605, time 102.24ms
iter 263: loss 1.71745646, time 102.34ms
iter 264: loss 1.70671701, time 102.24ms
iter 265: loss 1.70527649, time 101.78ms
iter 266: loss 1.72609651, time 101.69ms
iter 267: loss 1.70010877, time 102.07ms
iter 268: loss 1.70963585, time 101.94ms
iter 269: loss 1.68618178, time 101.87ms
iter 270: loss 1.69770014, time 101.90ms
iter 271: loss 1.71481109, time 101.39ms
iter 272: loss 1.66383672, time 102.20ms
iter 273: loss 1.67466211, time 101.32ms
iter 274: loss 1.67252338, time 100.70ms
iter 275: loss 1.68060970, time 100.00ms
iter 276: loss 1.65632069, time 100.77ms
iter 277: loss 1.67574334, time 128.31ms
iter 278: loss 1.67193270, time 102.55ms
iter 279: loss 1.65883088, time 101.86ms
iter 280: loss 1.65320790, time 100.52ms
iter 281: loss 1.66510928, time 100.71ms
iter 282: loss 1.68053567, time 101.24ms
iter 283: loss 1.67606914, time 101.52ms
iter 284: loss 1.67522502, time 101.62ms
iter 285: loss 1.65905023, time 101.35ms
iter 286: loss 1.66898835, time 102.40ms
iter 287: loss 1.62848878, time 102.96ms
iter 288: loss 1.66958559, time 101.66ms
iter 289: loss 1.63235784, time 101.64ms
iter 290: loss 1.66055906, time 101.72ms
iter 291: loss 1.63714814, time 129.30ms
iter 292: loss 1.63931167, time 101.17ms
iter 293: loss 1.62716806, time 100.16ms
iter 294: loss 1.67211390, time 101.89ms
iter 295: loss 1.63553631, time 101.49ms
iter 296: loss 1.65340686, time 100.86ms
iter 297: loss 1.65130579, time 102.02ms
iter 298: loss 1.64628541, time 101.60ms
iter 299: loss 1.62108636, time 101.92ms
iter 300: loss 1.63321674, time 101.77ms
iter 301: loss 1.62175965, time 100.76ms
iter 302: loss 1.61787856, time 100.68ms
iter 303: loss 1.63016105, time 101.00ms
iter 304: loss 1.66601682, time 100.76ms
iter 305: loss 1.63061881, time 101.23ms
iter 306: loss 1.64745474, time 100.55ms
iter 307: loss 1.62941432, time 101.58ms
iter 308: loss 1.62057745, time 101.95ms
iter 309: loss 1.60813940, time 101.50ms
iter 310: loss 1.61644661, time 129.54ms
iter 311: loss 1.62511957, time 101.13ms
iter 312: loss 1.61611307, time 101.63ms
iter 313: loss 1.61220348, time 102.00ms
iter 314: loss 1.62644136, time 100.80ms
iter 315: loss 1.61875737, time 101.16ms
iter 316: loss 1.61985624, time 101.83ms
iter 317: loss 1.59792471, time 101.30ms
iter 318: loss 1.62086093, time 100.53ms
iter 319: loss 1.58920681, time 101.78ms
iter 320: loss 1.65383840, time 101.58ms
iter 321: loss 1.61161530, time 99.91ms
iter 322: loss 1.58261073, time 101.21ms
iter 323: loss 1.60440373, time 100.54ms
iter 324: loss 1.57351089, time 100.94ms
iter 325: loss 1.62068927, time 100.96ms
iter 326: loss 1.60609412, time 101.06ms
iter 327: loss 1.58803940, time 101.20ms
iter 328: loss 1.57900810, time 128.76ms
iter 329: loss 1.59442949, time 101.02ms
iter 330: loss 1.59676039, time 101.02ms
iter 331: loss 1.58527982, time 101.44ms
iter 332: loss 1.60713136, time 101.73ms
iter 333: loss 1.61481690, time 102.31ms
iter 334: loss 1.57650888, time 104.32ms
iter 335: loss 1.60069764, time 103.57ms
iter 336: loss 1.60119390, time 101.69ms
iter 337: loss 1.59605598, time 101.64ms
iter 338: loss 1.56542850, time 101.59ms
iter 339: loss 1.60452092, time 101.43ms
iter 340: loss 1.56455827, time 102.20ms
iter 341: loss 1.60100067, time 101.26ms
iter 342: loss 1.56930280, time 101.62ms
iter 343: loss 1.55838847, time 100.68ms
iter 344: loss 1.62588596, time 101.99ms
iter 345: loss 1.60063493, time 102.23ms
iter 346: loss 1.58377647, time 100.29ms
iter 347: loss 1.57788444, time 101.34ms
iter 348: loss 1.58067536, time 139.76ms
iter 349: loss 1.56272638, time 101.56ms
iter 350: loss 1.55696332, time 101.37ms
iter 351: loss 1.57962465, time 100.76ms
iter 352: loss 1.55816805, time 101.07ms
iter 353: loss 1.58869100, time 101.18ms
iter 354: loss 1.54785359, time 101.11ms
iter 355: loss 1.54385030, time 101.40ms
iter 356: loss 1.54859769, time 101.78ms
iter 357: loss 1.57674527, time 101.04ms
iter 358: loss 1.54160297, time 101.60ms
iter 359: loss 1.55707145, time 101.21ms
iter 360: loss 1.58767867, time 101.23ms
iter 361: loss 1.54299545, time 101.46ms
iter 362: loss 1.56264234, time 99.69ms
iter 363: loss 1.54178166, time 100.80ms
iter 364: loss 1.55596995, time 99.82ms
iter 365: loss 1.56554484, time 128.52ms
iter 366: loss 1.57420862, time 100.84ms
iter 367: loss 1.53145468, time 100.84ms
iter 368: loss 1.56096900, time 100.00ms
iter 369: loss 1.54854560, time 101.54ms
iter 370: loss 1.52736640, time 100.14ms
iter 371: loss 1.56941521, time 102.06ms
iter 372: loss 1.56058168, time 100.89ms
iter 373: loss 1.52635789, time 101.52ms
iter 374: loss 1.54854774, time 101.13ms
iter 375: loss 1.53580129, time 100.55ms
iter 376: loss 1.56045818, time 101.45ms
iter 377: loss 1.55813611, time 100.39ms
iter 378: loss 1.52573788, time 100.64ms
iter 379: loss 1.50480378, time 100.80ms
iter 380: loss 1.53332150, time 101.24ms
iter 381: loss 1.55359697, time 102.16ms
iter 382: loss 1.54300559, time 102.61ms
iter 383: loss 1.55391359, time 103.87ms
iter 384: loss 1.51889789, time 129.56ms
iter 385: loss 1.56093287, time 99.88ms
iter 386: loss 1.55482125, time 100.51ms
iter 387: loss 1.52670050, time 100.09ms
iter 388: loss 1.54427242, time 101.23ms
iter 389: loss 1.54523313, time 101.34ms
iter 390: loss 1.51473331, time 101.63ms
iter 391: loss 1.52852738, time 101.89ms
iter 392: loss 1.57108426, time 101.17ms
iter 393: loss 1.50636017, time 100.54ms
iter 394: loss 1.53072548, time 101.41ms
iter 395: loss 1.54600537, time 99.81ms
iter 396: loss 1.52198756, time 100.51ms
iter 397: loss 1.52884662, time 101.08ms
iter 398: loss 1.52366865, time 101.24ms
iter 399: loss 1.50188911, time 101.18ms
iter 400: loss 1.49394941, time 100.07ms
iter 401: loss 1.52938330, time 101.75ms
iter 402: loss 1.50644064, time 128.58ms
iter 403: loss 1.50733185, time 102.23ms
iter 404: loss 1.49852288, time 100.36ms
iter 405: loss 1.48673749, time 101.67ms
iter 406: loss 1.53618991, time 102.55ms
iter 407: loss 1.51491737, time 101.69ms
