iter 72: loss 2.59975004, time 57.77ms
iter 73: loss 2.60819077, time 58.09ms
iter 74: loss 2.59343195, time 58.33ms
iter 75: loss 2.59615684, time 57.89ms
iter 76: loss 2.59135914, time 57.71ms
iter 77: loss 2.57817554, time 58.01ms
iter 78: loss 2.57791448, time 57.67ms
iter 79: loss 2.56902838, time 57.73ms
iter 80: loss 2.57885981, time 58.36ms
iter 81: loss 2.55917788, time 57.55ms
iter 82: loss 2.56605577, time 58.31ms
iter 83: loss 2.56607604, time 58.02ms
iter 84: loss 2.55293298, time 58.10ms
iter 85: loss 2.54821920, time 57.90ms
iter 86: loss 2.54273057, time 57.78ms
iter 87: loss 2.54951763, time 58.18ms
iter 88: loss 2.54950476, time 57.31ms
iter 89: loss 2.53178787, time 57.80ms
iter 90: loss 2.51209879, time 58.40ms
iter 91: loss 2.51525426, time 58.07ms
iter 92: loss 2.48766804, time 58.10ms
iter 93: loss 2.49240589, time 47.80ms
iter 94: loss 2.48889828, time 47.75ms
iter 95: loss 2.47919607, time 48.75ms
iter 96: loss 2.46646976, time 47.68ms
iter 97: loss 2.46181703, time 48.50ms
iter 98: loss 2.45363641, time 46.49ms
iter 99: loss 2.44924521, time 46.77ms
iter 100: loss 2.45674777, time 46.49ms
iter 101: loss 2.43394637, time 46.70ms
iter 102: loss 2.40485144, time 44.87ms
iter 103: loss 2.40837049, time 46.48ms
iter 104: loss 2.41185784, time 45.13ms
iter 105: loss 2.38174033, time 45.87ms
iter 106: loss 2.38811588, time 88.65ms
iter 107: loss 2.40547895, time 45.61ms
iter 108: loss 2.39056969, time 44.65ms
iter 109: loss 2.37471747, time 45.67ms
iter 110: loss 2.37378478, time 44.91ms
iter 111: loss 2.36699033, time 45.66ms
iter 112: loss 2.36057520, time 44.77ms
iter 113: loss 2.36337066, time 46.39ms
iter 114: loss 2.33863139, time 44.60ms
iter 115: loss 2.32937884, time 45.08ms
iter 116: loss 2.33554149, time 44.41ms
iter 117: loss 2.31392479, time 45.66ms
iter 118: loss 2.34704709, time 46.15ms
iter 119: loss 2.33498240, time 47.55ms
iter 120: loss 2.32432032, time 47.26ms
iter 121: loss 2.31974149, time 47.99ms
iter 122: loss 2.30410194, time 47.51ms
iter 123: loss 2.32223797, time 46.01ms
iter 124: loss 2.30972672, time 44.92ms
iter 125: loss 2.29911923, time 44.19ms
iter 126: loss 2.29987741, time 45.48ms
iter 127: loss 2.29911351, time 43.83ms
iter 128: loss 2.26275921, time 45.80ms
iter 129: loss 2.26559353, time 44.12ms
iter 130: loss 2.28698182, time 44.53ms
iter 131: loss 2.25784135, time 44.21ms
iter 132: loss 2.28441882, time 45.50ms
iter 133: loss 2.27539754, time 43.98ms
iter 134: loss 2.26111913, time 44.94ms
iter 135: loss 2.25127959, time 44.12ms
iter 136: loss 2.24991679, time 44.32ms
iter 137: loss 2.25170422, time 44.12ms
iter 138: loss 2.24193501, time 44.31ms
iter 139: loss 2.23526454, time 45.71ms
iter 140: loss 2.24673128, time 45.45ms
iter 141: loss 2.25531507, time 45.71ms
iter 142: loss 2.24275303, time 44.82ms
iter 143: loss 2.22227621, time 45.11ms
iter 144: loss 2.23745346, time 44.23ms
iter 145: loss 2.23925018, time 44.72ms
iter 146: loss 2.22740149, time 44.69ms
iter 147: loss 2.21753144, time 44.61ms
iter 148: loss 2.22415590, time 44.82ms
iter 149: loss 2.20741153, time 45.51ms
iter 150: loss 2.21816087, time 47.07ms
iter 151: loss 2.19913054, time 44.52ms
iter 152: loss 2.19932580, time 44.32ms
iter 153: loss 2.18530202, time 44.77ms
iter 154: loss 2.18095875, time 46.02ms
iter 155: loss 2.20899200, time 45.12ms
iter 156: loss 2.18547559, time 44.60ms
iter 157: loss 2.19100833, time 45.13ms
iter 158: loss 2.18548036, time 44.55ms
iter 159: loss 2.19585419, time 44.91ms
iter 160: loss 2.17068243, time 44.56ms
iter 161: loss 2.18214774, time 44.85ms
iter 162: loss 2.17403412, time 45.26ms
iter 163: loss 2.14298773, time 44.17ms
iter 164: loss 2.14486480, time 45.00ms
iter 165: loss 2.15964937, time 44.51ms
iter 166: loss 2.13423610, time 45.31ms
iter 167: loss 2.16325212, time 44.38ms
iter 168: loss 2.15154910, time 45.20ms
iter 169: loss 2.14380240, time 46.56ms
iter 170: loss 2.15941715, time 47.50ms
iter 171: loss 2.13714910, time 44.92ms
iter 172: loss 2.13612509, time 45.38ms
iter 173: loss 2.13419580, time 44.53ms
iter 174: loss 2.12499261, time 44.91ms
iter 175: loss 2.16542459, time 44.85ms
iter 176: loss 2.12878728, time 44.74ms
iter 177: loss 2.13177276, time 44.80ms
iter 178: loss 2.13038111, time 44.37ms
iter 179: loss 2.09213305, time 44.29ms
iter 180: loss 2.12608910, time 44.37ms
iter 181: loss 2.13169408, time 44.85ms
iter 182: loss 2.12688756, time 46.53ms
iter 183: loss 2.09930706, time 45.00ms
iter 184: loss 2.10313034, time 44.87ms
iter 185: loss 2.12003231, time 45.03ms
iter 186: loss 2.12292075, time 44.55ms
iter 187: loss 2.10459161, time 44.87ms
iter 188: loss 2.10303855, time 48.45ms
iter 189: loss 2.08949876, time 45.09ms
iter 190: loss 2.07259583, time 45.04ms
iter 191: loss 2.07828832, time 44.99ms
iter 192: loss 2.10196233, time 44.66ms
iter 193: loss 2.08096361, time 45.20ms
iter 194: loss 2.07990909, time 44.14ms
iter 195: loss 2.07751679, time 45.35ms
iter 196: loss 2.08358192, time 44.42ms
iter 197: loss 2.07702088, time 44.83ms
iter 198: loss 2.07000566, time 44.31ms
iter 199: loss 2.04730773, time 45.03ms
iter 200: loss 2.08756018, time 44.87ms
iter 201: loss 2.05214500, time 45.49ms
iter 202: loss 2.05436707, time 45.44ms
iter 203: loss 2.06419969, time 44.44ms
iter 204: loss 2.05339766, time 45.57ms
iter 205: loss 2.06010938, time 44.68ms
iter 206: loss 2.06676483, time 45.35ms
iter 207: loss 2.01828098, time 44.43ms
iter 208: loss 2.08229899, time 45.54ms
iter 209: loss 2.03012538, time 44.49ms
iter 210: loss 2.03717804, time 46.03ms
iter 211: loss 2.02874970, time 44.39ms
iter 212: loss 2.02698350, time 45.30ms
iter 213: loss 2.01929688, time 44.29ms
iter 214: loss 2.05616641, time 45.42ms
iter 215: loss 2.03983736, time 44.65ms
iter 216: loss 2.04000998, time 45.78ms
iter 217: loss 2.03865218, time 44.70ms
iter 218: loss 2.02266598, time 44.80ms
iter 219: loss 1.99520206, time 44.41ms
iter 220: loss 2.02523780, time 44.80ms
iter 221: loss 1.99267483, time 44.58ms
iter 222: loss 2.00614667, time 45.96ms
iter 223: loss 1.99142849, time 45.90ms
iter 224: loss 2.00650263, time 44.67ms
iter 225: loss 2.00951052, time 45.60ms
iter 226: loss 1.99645865, time 44.74ms
iter 227: loss 1.99450481, time 44.89ms
iter 228: loss 1.99664497, time 45.33ms
iter 229: loss 1.99293971, time 45.51ms
iter 230: loss 1.96772826, time 44.92ms
iter 231: loss 1.97934699, time 45.89ms
iter 232: loss 1.96883607, time 88.40ms
iter 233: loss 1.97947061, time 44.54ms
iter 234: loss 1.96608377, time 45.55ms
iter 235: loss 1.94795918, time 44.18ms
iter 236: loss 1.98382246, time 45.55ms
iter 237: loss 1.94491255, time 44.37ms
iter 238: loss 1.93164551, time 44.88ms
iter 239: loss 1.96280730, time 44.48ms
iter 240: loss 1.95796323, time 44.78ms
iter 241: loss 1.95292544, time 45.81ms
iter 242: loss 1.98561335, time 44.88ms
iter 243: loss 1.95266044, time 45.19ms
iter 244: loss 1.95977056, time 44.50ms
iter 245: loss 1.93162870, time 45.30ms
iter 246: loss 1.93986821, time 44.22ms
iter 247: loss 1.90677273, time 45.19ms
iter 248: loss 1.95300496, time 44.71ms
iter 249: loss 1.95405471, time 45.78ms
step 250: train loss 1.9371, val loss 2.0159
saving checkpoint to out-shakespeare-char
iter 250: loss 1.94811070, time 14658.48ms
iter 251: loss 1.95768094, time 49.01ms
iter 252: loss 1.92996049, time 46.54ms
iter 253: loss 1.94339097, time 46.67ms
iter 254: loss 1.91885138, time 47.08ms
iter 255: loss 1.92206562, time 46.68ms
iter 256: loss 1.91032958, time 47.40ms
iter 257: loss 1.92554390, time 45.95ms
iter 258: loss 1.90715754, time 45.86ms
iter 259: loss 1.91095948, time 46.62ms
iter 260: loss 1.92740858, time 45.88ms
iter 261: loss 1.92587984, time 46.11ms
iter 262: loss 1.90692759, time 45.11ms
iter 263: loss 1.89221168, time 45.37ms
iter 264: loss 1.91011560, time 44.89ms
iter 265: loss 1.86750114, time 45.10ms
iter 266: loss 1.90708947, time 45.51ms
iter 267: loss 1.88587403, time 44.87ms
iter 268: loss 1.91919935, time 45.12ms
iter 269: loss 1.91441381, time 45.70ms
iter 270: loss 1.89652824, time 45.55ms
iter 271: loss 1.89627302, time 45.94ms
iter 272: loss 1.90295112, time 45.54ms
iter 273: loss 1.89531910, time 45.63ms
iter 274: loss 1.89005935, time 44.88ms
iter 275: loss 1.89646935, time 45.24ms
iter 276: loss 1.86761880, time 44.63ms
iter 277: loss 1.88396835, time 45.07ms
iter 278: loss 1.86651516, time 44.55ms
iter 279: loss 1.87252128, time 45.57ms
iter 280: loss 1.86776483, time 45.06ms
iter 281: loss 1.81513333, time 44.95ms
iter 282: loss 1.87818348, time 45.23ms
iter 283: loss 1.86886013, time 45.05ms
iter 284: loss 1.86687243, time 44.64ms
iter 285: loss 1.87922275, time 44.36ms
